| 镜号 | 景别 | 时长 | 画面描述（含角色外貌、服装、动作、环境） | 台词/内心独白 | 运镜/音效提示 |
|:---|:---|:---|:---|:---|:---|
| 1 | 黑屏字幕 | 5s | 黑屏，一声沉闷钟响仿佛从远古传来。字幕缓慢浮现：“当世间再无人记得，历史便真正死去。”字体古朴，像刻在青铜上。 | 字幕：当世间再无人记得，历史便真正死去。 | 固定镜头；沉闷远古钟响，余音回荡，低频震动。 |
| 2 | 远景 | 8s | 画面淡入，苍翠山峦间，一座古朴宗门依山而建。山门石匾刻着三个篆字“守忆宗”。晨雾缭绕，鸟鸣声声。 | 无 | 从远山缓慢推近山门；鸟鸣、晨风、雾气流声。 |
| 3 | 中景 | 6s | 守忆宗演武场，清晨。十七岁林渊在练剑，黑发束冠，青灰长袍，剑势沉稳老练。地面石砖有露水。 | 无 | 围绕林渊缓慢旋转；剑刃破风声、呼吸声。 |
| 4 | 中景 | 5s | 扎着双丫髻的八岁小师妹阿瑶蹦蹦跳跳跑来，怀里抱着一只三脚铜雀。铜雀冰凉，雀目嵌着米粒大小的墨色晶石。 | 阿瑶：师兄师兄！师父让我把这个给你！他说今天是你的“启忆日”！ | 跟随阿瑶移动；轻快脚步声、铜雀轻微碰撞声。 |
| 5 | 近景 | 4s | 林渊收剑，接过铜雀。特写铜雀冰凉质感，雀目墨色晶石微光。阿瑶仰头说话。 | 林渊：师父人呢？ 阿瑶：在后山闭关呢，说让你自己悟。不过我偷听到他跟长老说话，好像……在说什么“天劫要来了”。 | 两人之间切换；铜雀金属轻响，环境安静。 |
| 6 | 全景 | 3s | 轰——！巨响从主殿方向传来，地动山摇。演武场石砖龟裂，林渊一把将阿瑶护在身后。浓烟升起。 | 无 | 镜头剧烈震动，快速拉远；爆炸巨响、地裂声、惨叫、兵器碰撞、尖锐破空声。 |
| 7 | 中景 | 4s | 数道黑影从山门外掠入，那些人形生物全身包裹流动的墨色雾气。 | 无 | 低角度拍摄，黑影快速掠过；墨雾流动声、阴冷风声。 |
| 8 | 手持跟拍 | 6s | 林渊拉着阿瑶沿山道奔逃。沿途倒下的同门面色苍白，瞳孔涣散，仿佛被抽走了什么。 | 无 | 手持跟拍，混乱急促；奔跑声、惨叫声、远处战斗声。 |
| 9 | 特写 | 5s | 一名师兄挣扎抓住林渊脚踝。师兄面色苍白，瞳孔涣散。 | 师兄：他们在找“簿子”……快带阿瑶走…… | 特写师兄眼睛，瞳孔光消失；声音渐弱，心跳声。 |
