镜号,画面目标,文生图 Prompt,比例
1,纯黑片头,纯黑背景，电影级黑场，无任何物体，无纹理，无噪点，极简黑画面,16:9
2,黑底主题字幕,纯黑背景，中央白色极简电影字幕，文字内容为 “当世间再无人记得，历史便真正死去。”，字体端正清晰，古风无衬线质感，留白充足，画面干净,16:9
3,守忆宗远景,清晨苍翠山峦，层叠林海，山谷中有一座古朴宗门依山而建，晨雾缓慢流动，远处屋檐隐现，清晨柔光洒落，青绿山色，国风写实照片感，电影级远景，空气通透,16:9
4,山门石匾特写,古朴青石山门石匾，石匾上有苍劲古篆字 “守忆宗”，石面粗粝沧桑，雾气掠过石面，清晨侧光，背景虚化，微距照片质感，重点突出石匾文字,16:9
5,林渊演武场练剑,十七岁少年林渊，黑发束冠，身穿青灰长袍，在青石演武场练剑，剑势沉稳舒展，身姿挺拔，晨雾未散，远处是山林和宗门建筑，清晨漫射光，国风写实剧照感,16:9
6,林渊侧脸近景,林渊侧脸近景，黑发束冠，眉眼沉静，收剑调息，神情克制，背景虚化，柔和侧光，低饱和古风色调，真实皮肤质感，电影级人物特写,16:9
7,阿瑶抱铜雀入画,八岁小女孩阿瑶，扎双丫髻，穿浅色古风童装，怀里抱着一只三脚铜雀，蹦跳着进入青石演武场，表情活泼兴奋，明亮暖光，画面轻快，国风写实照片感,16:9
8,师兄妹对话,林渊与阿瑶双人同框，林渊温和倾听，阿瑶仰头笑着说话，阿瑶怀中抱着三脚铜雀，青石演武场背景，暖色柔光，人物真实自然，电影剧照感,16:9
9,三脚铜雀特写,一只古铜色三脚铜雀，鸟形青铜器，三足结构清晰，雀目镶嵌米粒大小的墨色晶石，冷光反射，微距特写，背景全虚，金属冰凉质感，神秘古朴,16:9
10,林渊询问师父,林渊站在演武场中，神情温和疑惑，视线看向阿瑶，青灰长袍，清晨自然光，背景简洁虚化，国风写实剧照感,16:9
11,阿瑶压低声音,阿瑶近景，表情认真又神秘，身体微微前倾，压低声音说话，背景微暗，画面有隐秘危机感，儿童面部自然真实,16:9
12,林渊皱眉蓄力,林渊面部特写，眉头微皱，眼神沉下，表情凝重，背景虚化，面部明暗对比增强，情绪蓄力，电影级人物特写,16:9
13,主殿爆炸,守忆宗主殿外景突然爆炸，强烈白光从主殿中心炸开，浓烟冲天，碎石飞散，地面震动感，周围山林和山门被烟尘笼罩，灾难照片感，强烈明暗对比,16:9
14,石砖龟裂特写,青石演武场地面特写，石砖出现不规则裂纹，裂纹从中心向外蔓延，边缘有碎石和尘土，低角度拍摄，冷调硬光，真实地面材质,16:9
15,林渊护住阿瑶,林渊侧身站在阿瑶身前，将阿瑶护在身后，身体紧绷，手臂张开防御，阿瑶躲在他背后，画面紧张，暗调轮廓光，国风写实动作剧照,16:9
16,墨雾黑影入侵,守忆山门外，数道黑色墨雾从山门外掠入，墨色雾气流动扭曲，形成模糊人形轮廓，穿过浓烟和山门，画面阴冷压迫，暗黑仙侠照片感,16:9
17,山道奔逃,林渊牵着阿瑶在山道上急速奔跑，青石山路两侧是密林，身后有火光和浓烟，衣摆飞扬，画面有速度感，低光昏暗，电影级动作长镜头感,16:9
18,倒地同门特写,一名守忆宗弟子倒在山道旁，面色惨白，瞳孔涣散，神情空洞，身体僵硬，周围有淡淡墨雾，冷白光，画面悲凉，写实但克制,16:9
19,师兄抓住林渊脚踝,重伤师兄倒在地上，伸手抓住林渊脚踝，手背上有灰尘土痕，林渊衣摆停在旁边，低机位近景，昏暗局部光，情绪悲壮,16:9
20,师兄临终台词,重伤师兄面部特写，气若游丝，眼神涣散，嘴唇微张，呼吸微弱，背景虚焦，画面有临终朦胧感，冷色低饱和,16:9
21,师兄瞳孔失焦,师兄眼部特写，瞳孔彻底失焦，失去光泽，面部苍白，手无力垂落在一旁，画面凝固，冷调死寂，无暖色,16:9
22,林渊抱起阿瑶,林渊蹲身合上师兄双眼，随后抱起阿瑶准备离开，神情隐忍悲痛，动作克制，阿瑶靠在他怀里，冷调电影剧照感,16:9
23,主殿闪回,守忆宗主殿内景，宗谱高悬在殿中，梁柱厚重，殿内昏暗肃穆，画面有柔化回忆质感，低饱和古风，庄重氛围,16:9
24,林北望滴血封印,宗主林北望站在宗谱前，以指尖血触碰宗谱，血色纹路沿纸面扩散，形成古老封印，殿内暗调，仪式感强，人物神情决绝,16:9
25,门缝墨雾渗入,主殿门缝特写，墨色雾气像液体一样从门缝渗入，门缝外有微弱强光，雾气暗黑粘稠，空间压迫，恐怖神秘,16:9
26,长老焦急提醒,守忆宗长老站在殿内，神情焦急，看向宗主，背景是宗谱和昏暗梁柱，低饱和暗调，电影剧照感,16:9
27,林北望平静询问,林北望正面站在殿中，神色平静，眼神坚定，面对绝境从容不迫，背后宗谱隐约可见，庄重侧光，低饱和古风,16:9
28,长老询问至宝,长老低头看向宗主，神情凝重，欲言又止，殿内光线昏暗，背景虚化，剧情剧照感,16:9
29,万界记忆簿特写,林北望拉开衣襟，胸口嵌着一本巴掌大小的墨黑册子，册子通体漆黑，边缘有无数字符像活物一样游走，神秘暗光，微距特写,16:9
30,墨雾巨掌拍下,主殿上空，墨色雾气凝聚成巨大手掌，遮天蔽日压向宗主，殿顶破损，木梁断裂，黑雾翻涌，画面末日压迫，暗黑仙侠史诗感,16:9
31,进入密道,林渊牵着阿瑶进入后山密道，石洞狭窄粗糙，岩壁潮湿，弱光从前方照入，低角度跟随视角，幽暗密闭，国风写实,16:9
32,铜雀掌心发烫,林渊掌心特写，手中三脚铜雀微微发烫，雀目墨晶发亮，局部暖光照亮手指，背景冷暗，低频神秘氛围，微距照片感,16:9
33,传承石室全景,密道尽头是一间空旷石室，中央有古老石台，石台上有圆形凹槽，石室石质粗粝，安静肃穆，暗调柔光，仪式空间,16:9
34,铜雀触发机关,三脚铜雀落入石台凹槽，幽蓝光芒从接触处爆发，蓝光铺满石室，石台上古老符纹被点亮，神圣庄严，照片级特效感,16:9
35,林北望投影现身,石室中央，林北望半透明投影从幽蓝光中显现，虚影柔光弥散，边缘微微虚化，神态温和又沉重，林渊与阿瑶站在下方仰望,16:9
36,林北望嘱托,林北望投影站在石室中，对林渊说话，虚影逐渐变淡，神情郑重，背景幽蓝光缓慢减弱，画面肃穆，电影剧照感,16:9
37,投影消散,林北望投影化成细碎光点和淡雾，在石室空气中缓缓消散，幽蓝光逐渐熄灭，画面由亮转暗，空落沉静,16:9
38,记忆簿转移胸口,林渊胸口特写，墨黑的万界记忆簿从师父影像中转移到林渊胸前，贴着皮肤微微搏动，字符沿皮肤边缘游走，神秘暗光,16:9
39,追兵逼近密道,幽暗密道，画面压暗，远处有模糊兵器反光和脚步声传来，石壁潮湿阴冷，空间狭窄，紧张压迫感，电影剧照感,16:9
40,林渊让阿瑶闭眼,林渊将阿瑶护在身后，身体挺直，眼神坚定冰冷，阿瑶躲在他背后，画面肃杀，冷硬轮廓光，国风写实动作剧照,16:9
41,启动记忆簿,林渊手掌按在胸口记忆簿上，胸口和手掌泛起红暗灼烧光，皮肤被灼热感染红，表情隐忍痛苦，神秘字符从胸口扩散,16:9
42,五千年文明记忆闪回,五千年文明记忆高速闪回，画面由刀耕火种、青铜鼎、铁马冰河、诗词画卷等历史片段叠化组成，星河般流光倒灌，恢宏沧桑，史诗照片感,16:9
43,石台崩塌坠落,传承石室地面崩裂，石台塌陷，林渊和阿瑶随碎石一起向下坠落，裂缝中涌出黑暗气流，画面有强烈失重感，电影灾难剧照,16:9
44,空间撕裂,周围空间像古帛画一样被撕裂，帛画纹理的碎片向四周飘散，裂缝中透出淡金流光，裂缝后隐约可见苍茫新世界，超现实奇幻照片感,16:9
45,商周乱世远景,苍茫黄土地，远处烽烟四起，战旗倾斜，天空暗红，半空漂浮着无数甲骨文符号，符号正在一片片碎裂消散，苍凉史诗照片感,16:9
46,林渊胸口金纹,林渊面部与胸口特写，瞳孔倒映乱世烽烟，胸口记忆簿字符加速游走，皮肤浮现细密金色灼烧纹路，神情刺痛隐忍，暗黑玄幻照片感,16:9
47,林渊确认时空,林渊站在灰黄土地上，轻声自语，眼神震撼而凝重，身后是暗红天空和远处烽烟，画面沉静，国风写实电影剧照感,16:9
48,血月乱世终景,林渊与阿瑶落在灰黄乱世土地上，头顶暗红血月悬空，远方战鼓烽烟，天地苍茫，低饱和史诗照片感，画面开阔，片尾定格氛围,16:9
（内容由AI生成）
