素材名称,出场镜号,用途,备注
片头字幕淡入淡出,镜 2,白色古风无衬字幕动画,文字：当世间再无人记得，历史便真正死去。
晨雾流动粒子,镜 3、4、5,山林、山门流动白雾,缓慢柔和，低浓度
爆炸强光 + 烟尘,镜 13,主殿爆炸火光、浓烟,强光闪白 + 黑色烟尘，冲击抖动层
地面裂纹蔓延,镜 14,石砖龟裂蔓延动画,裂纹由中心向外扩散
墨雾粒子（反派黑雾）,镜 16、25,反派入侵黑雾，门缝渗雾,粘稠流动黑雾，可做侵蚀动画
血色封印纹路,镜 24,宗主滴血，血色纹路爬满宗谱,红色流光，沿纸面游走
幽蓝传承光芒,镜 34,铜雀触发，石室蓝光铺满空间,纯净幽蓝漫射光效
投影虚影柔光,镜 35~37,师父半透明投影,柔光弥散，边缘虚化，可缓缓消散
记忆簿流光字符,镜 29、38、46,册子 / 胸口游走古字符,墨色底色，淡金色流动文字
灼烧红光,镜 41,林渊启动力量，全身灼热泛红,皮肤泛红灼烧光层
文明记忆星河闪剪素材,镜 42,刀耕火种、青铜鼎、铁马冰河、诗词画卷,多组历史画面叠化素材，快速闪切
空间撕裂碎裂特效,镜 43、44,空间像帛画碎裂，裂缝流光,碎片飘飞，裂痕淡金流光
漂浮甲骨文碎片,镜 45,空中漂浮、消散的甲骨文,古文字粒子，缓慢碎裂消失
胸口金色灼烧纹路,镜 46,力量反噬，皮肤浮现细密金纹,从胸口向外蔓延，微光
血月天空,镜 48,片尾高悬暗红色血月,暗红月亮，低饱和度，云层
（内容由AI生成）
