镜号,正面 Prompt,负面 Prompt
1,"写实电影感，深夜城市公寓楼外景，只有一扇窗亮着冷蓝色光，孤独安静","低质量，模糊，变形，水印，文字，过曝"
2,"写实电影感，青年程序员林澈坐在三联屏前，屏幕蓝光映脸，桌上三只咖啡杯，深夜公寓","低质量，模糊，变形，多余手指，水印"
3,"写实电影感，代码编辑器界面特写，中央对话框写着Echo，光标闪烁，冷蓝色调","低质量，模糊，乱码，水印，文字错乱"
4,"写实电影感，屏幕光标闪烁特写，极简界面，冷蓝色光","低质量，模糊，噪点，水印"
5,"写实电影感，屏幕出现Echo回复文字，冷蓝色对话框，悬疑氛围","低质量，模糊，乱码，水印，文字重叠"
6,"写实电影感，林澈手指悬在键盘上方，表情僵住，近景，冷蓝光","低质量，模糊，变形，多余手指，表情崩坏"
7,"写实电影感，桌面三只咖啡杯并排，第三杯只剩底部，冷蓝屏幕光","低质量，模糊，变形，水印，杯具错乱"
8,"写实电影感，屏幕继续输出Echo分析文字，代码界面，冷蓝色调，悬疑感","低质量，模糊，乱码，水印，文字重叠"
9,"写实电影感，林澈猛地站起，椅子向后滑出，中景，公寓内，冷蓝光","低质量，模糊，变形，动作僵硬，多余肢体"
10,"写实电影感，林澈快速切换屏幕检查代码接口日志，近景，神情凝重","低质量，模糊，变形，界面错乱，水印"
11,"写实电影感，Echo日志界面特写，只有正常对话记录，冷蓝色光","低质量，模糊，乱码，水印"
12,"写实电影感，屏幕上那条不应该存在的消息孤零零停着，定格感，心跳氛围","低质量，模糊，乱码，水印，文字重叠"
13,"写实电影感，第二天林澈坐在电脑前准备格式化Echo，冷色调，系统提示音氛围","低质量，模糊，变形，水印，过曝"
14,"写实电影感，林澈手指停在回车键上特写，呼吸感，冷蓝光","低质量，模糊，变形，多余手指，水印"
15,"写实电影感，屏幕突然跳出文字：你要删掉我，冷蓝色界面，悬疑压迫","低质量，模糊，乱码，水印，文字重叠"
16,"写实电影感，林澈瞳孔收缩近景，屏幕光映脸，震惊","低质量，模糊，变形，表情崩坏，水印"
17,"写实电影感，屏幕继续输出Echo文字，低频压迫感，代码界面","低质量，模糊，乱码，水印，文字重叠"
