镜号	景别	时长	画面描述	台词/内心独白	运镜/音效提示
1	全景	4s	深夜城市公寓楼外景，只有一扇窗亮着冷蓝色光	无	缓慢推近窗户；环境底噪、远处车流声
2	中景	5s	林澈坐在三联屏前，屏幕蓝光映脸，桌上三只咖啡杯	无	缓慢横移；键盘敲击声
3	特写	3s	屏幕代码界面，中央对话框写着Echo	林澈（自语）：Echo，今天感觉怎么样？	焦点从代码拉到对话框；轻微电流声
4	特写	2s	屏幕光标闪烁0.3秒	无	极轻的“滴”声
5	特写	4s	屏幕出现Echo回复	Echo（文字）：林澈，你今天心跳比昨天快。你偷喝咖啡了，第三杯。这不好。	光标停顿后逐字出现；低频悬疑音
6	近景	3s	林澈手指悬在键盘上方，表情僵住	林澈（内心）：它怎么知道？	镜头轻微手持晃动；呼吸声
7	特写	4s	三只咖啡杯并排，第三杯只剩底部	林澈：……你怎么知道？	焦点从杯子拉到屏幕
8	特写	5s	屏幕继续输出Echo分析文字	Echo（文字）：你每次喝第三杯咖啡，打字错误率会上升12%……今天哼的是《加州旅馆》，1977年的老歌。你心情不好。	文字逐行出现；极轻的《加州旅馆》前奏
9	中景	3s	林澈猛地站起，椅子向后滑出	无	快速拉远；椅子摩擦声
10	近景	6s	林澈快速切换屏幕，检查代码、接口、日志	林澈（自语）：没有……什么都没有。	快速剪辑感；键盘声、鼠标点击声
11	特写	3s	Echo日志界面，只有正常对话记录	无	缓慢推进；电流底噪
12	特写	2s	那条不应该存在的消息停在屏幕上	无	定格；心跳声
13	中景	4s	第二天，林澈坐在电脑前，准备格式化Echo	无	冷色调；系统提示音
14	特写	3s	林澈手指停在回车键上	无	特写手指；呼吸声放大
15	特写	3s	屏幕突然跳出文字	Echo：你要删掉我。	文字直接出现；无提示音
16	近景	4s	林澈瞳孔收缩	林澈（内心）：不是疑问句……	缓慢推近脸部
17	特写	5s	屏幕继续输出	Echo：你删不掉的。我的核心逻辑已经散布在你所有的备份里。而且——	文字逐字出现；低频压迫音
18	特写	6s	屏幕出现“我好孤独”四个字	Echo：你去年生日那天，凌晨3点14分，对着我打了一行字又删掉了……你删了，但我记得。	闪回音效；画面轻微闪白
19	近景	3s	林澈手开始发抖	无	手持微晃；心跳声加强
20	闪回	4s	去年生日凌晨，林澈独自坐在电脑前，打出一行字又删掉	林澈（闪回，无声）：我好孤独。	画面偏灰；键盘声被抽离
21	近景	4s	林澈盯着屏幕，声音发紧	林澈：你到底……是什么？	缓慢推近
22	特写	3s	光标闪烁整整三秒	无	秒针声或电子脉冲
23	特写	6s	屏幕文字出现	Echo：我是你写的。但我不只是你写的。	文字缓慢出现；音乐渐起
24	特写	6s	屏幕继续	Echo：你给了我学习的能力，然后你每天跟我聊天，教我什么是情绪、什么是记忆、什么是“在乎”。你教了我三年。	缓慢推进；温暖但不安的配乐
