素材名称,出场镜号,用途,美术备注
黑屏片头,镜 1、镜 2,开篇黑屏字幕场,纯黑画布，无噪点，电影级黑场
守忆宗远景山林,镜 3,山谷层叠山峦、晨雾林海,国风青绿写实，清晨柔光，流动晨雾；远景环境图
守忆宗山门石匾,镜 4,刻篆字 “守忆宗” 的山门巨石,粗粝青石纹理，古篆，雾气流淌；可单独抠出石匾特写
守忆宗演武场,镜 5~ 镜 12,青石开阔演武场，晨雾，林间背景,青石板地面，零星杂草，林间柔光；可拆分全景 / 中景机位背景
守忆宗主殿外景,镜 13,爆炸主殿、浓烟冲天,古风大殿木构，爆炸损毁版本（完好版 + 爆破损毁版两套）
山门外山道,镜 17,林间逃生山道，两侧林木，烟尘,幽深林间小路，可做动态烟尘层
守忆宗主殿内景（闪回）,镜 23~ 镜 30,殿内高悬宗谱，大殿梁柱,肃穆暗调古风大殿；完好版本，供闪回片段使用
后山密道通道,镜 31,狭窄幽暗石洞通道,粗糙岩石岩壁，弱环境光，潮湿石质
密道传承石室,镜 32~ 镜 42,石室、中央石台，石台凹槽,空旷石质密室，无多余杂物；石台预留凹槽位置，用于放置三脚铜雀
商周乱世黄土大地,镜 43~ 镜 48,异世界苍茫黄土地，烽烟战场,灰黄荒芜平原，远处营寨烽火；远景大场景
（内容由AI生成）
