镜号,正面 Prompt,负面 Prompt
1,纯黑背景，电影级黑场，无任何物体，无纹理，无噪点，极简黑画面，适合片头静场,不要灰屏，不要噪点，不要纹理，不要物体，不要文字，不要边框，不要渐变
2,纯黑背景，中央白色极简电影字幕，文字内容为 “当世间再无人记得，历史便真正死去。”，字体端正清晰，古风无衬线质感，留白充足，画面干净,不要乱码，不要错别字，不要多余文字，不要彩色字体，不要背景图案，不要边框
3,清晨苍翠山峦，层叠林海，山谷中有一座古朴宗门依山而建，晨雾缓慢流动，远处屋檐隐现，清晨柔光洒落，青绿山色，国风写实照片感，电影级远景，空气通透,不要现代建筑，不要城市，不要电线，不要汽车，不要夸张仙侠光效，不要低清晰度
4,古朴青石山门石匾，石匾上有苍劲古篆字 “守忆宗”，石面粗粝沧桑，雾气掠过石面，清晨侧光，背景虚化，微距照片质感，重点突出石匾文字,不要现代招牌，不要发光字，不要卡通字体，不要破损变形，不要杂乱背景
5,十七岁少年林渊，黑发束冠，身穿青灰长袍，在青石演武场练剑，剑势沉稳舒展，身姿挺拔，晨雾未散，远处是山林和宗门建筑，清晨漫射光，国风写实剧照感,不要现代服装，不要短发，不要西装，不要运动鞋，不要夸张动作，不要畸形手
6,林渊侧脸近景，黑发束冠，眉眼沉静，收剑调息，神情克制，背景虚化，柔和侧光，低饱和古风色调，真实皮肤质感，电影级人物特写,不要现代发型，不要浓妆，不要夸张表情，不要脸部变形，不要低清晰度
7,八岁小女孩阿瑶，扎双丫髻，穿浅色古风童装，怀里抱着一只三脚铜雀，蹦跳着进入青石演武场，表情活泼兴奋，明亮暖光，画面轻快，国风写实照片感,不要成人化，不要现代衣服，不要玩具感过强，不要夸张表情，不要畸形手指
8,林渊与阿瑶双人同框，林渊温和倾听，阿瑶仰头笑着说话，阿瑶怀中抱着三脚铜雀，青石演武场背景，暖色柔光，人物真实自然，电影剧照感,不要现代场景，不要服装混乱，不要脸部变形，不要多余人物，不要杂乱背景
9,一只古铜色三脚铜雀，鸟形青铜器，三足结构清晰，雀目镶嵌米粒大小的墨色晶石，冷光反射，微距特写，背景全虚，金属冰凉质感，神秘古朴,不要现代摆件，不要塑料感，不要金色过亮，不要文字乱码，不要复杂背景
10,林渊站在演武场中，神情温和疑惑，视线看向阿瑶，青灰长袍，清晨自然光，背景简洁虚化，国风写实剧照感,不要现代服装，不要夸张表情，不要脸部变形，不要杂乱背景
11,阿瑶近景，表情认真又神秘，身体微微前倾，压低声音说话，背景微暗，画面有隐秘危机感，儿童面部自然真实,不要成人化表情，不要现代服装，不要脸部变形，不要恐怖化
12,林渊面部特写，眉头微皱，眼神沉下，表情凝重，背景虚化，面部明暗对比增强，情绪蓄力，电影级人物特写,不要现代发型，不要夸张皱眉，不要脸部变形，不要低清晰度
13,守忆宗主殿外景突然爆炸，强烈白光从主殿中心炸开，浓烟冲天，碎石飞散，地面震动感，周围山林和山门被烟尘笼罩，灾难照片感，强烈明暗对比,不要现代爆炸特效，不要科幻感过强，不要低清晰度，不要杂乱画面
14,青石演武场地面特写，石砖出现不规则裂纹，裂纹从中心向外蔓延，边缘有碎石和尘土，低角度拍摄，冷调硬光，真实地面材质,不要水泥地，不要现代地砖，不要夸张发光裂纹，不要低清晰度
15,林渊侧身站在阿瑶身前，将阿瑶护在身后，身体紧绷，手臂张开防御，阿瑶躲在他背后，画面紧张，暗调轮廓光，国风写实动作剧照,不要现代服装，不要脸部变形，不要动作夸张，不要多余人物
16,守忆山门外，数道黑色墨雾从山门外掠入，墨色雾气流动扭曲，形成模糊人形轮廓，穿过浓烟和山门，画面阴冷压迫，暗黑仙侠照片感,不要明确恶魔脸，不要血腥，不要现代烟雾特效，不要低清晰度
17,林渊牵着阿瑶在山道上急速奔跑，青石山路两侧是密林，身后有火光和浓烟，衣摆飞扬，画面有速度感，低光昏暗，电影级动作长镜头感,不要现代道路，不要汽车，不要现代服装，不要脸部变形，不要畸形手
18,一名守忆宗弟子倒在山道旁，面色惨白，瞳孔涣散，神情空洞，身体僵硬，周围有淡淡墨雾，冷白光，画面悲凉，写实但克制,不要血腥，不要伤口外露，不要恐怖化，不要现代服装
19,重伤师兄倒在地上，伸手抓住林渊脚踝，手背上有灰尘土痕，林渊衣摆停在旁边，低机位近景，昏暗局部光，情绪悲壮,不要血腥，不要外露伤口，不要现代服装，不要脸部变形
20,重伤师兄面部特写，气若游丝，眼神涣散，嘴唇微张，呼吸微弱，背景虚焦，画面有临终朦胧感，冷色低饱和,不要血腥，不要恐怖化，不要脸部变形，不要低清晰度
21,师兄眼部特写，瞳孔彻底失焦，失去光泽，面部苍白，手无力垂落在一旁，画面凝固，冷调死寂，无暖色,不要血腥，不要恐怖化，不要夸张眼部结构，不要低清晰度
22,林渊蹲身合上师兄双眼，随后抱起阿瑶准备离开，神情隐忍悲痛，动作克制，阿瑶靠在他怀里，冷调电影剧照感,不要现代服装，不要脸部变形，不要夸张哭泣，不要多余人物
23,守忆宗主殿内景，宗谱高悬在殿中，梁柱厚重，殿内昏暗肃穆，画面有柔化回忆质感，低饱和古风，庄重氛围,不要现代室内，不要吊灯，不要玻璃，不要杂乱背景
24,宗主林北望站在宗谱前，以指尖血触碰宗谱，血色纹路沿纸面扩散，形成古老封印，殿内暗调，仪式感强，人物神情决绝,不要血腥夸张，不要现代服装，不要脸部变形，不要低清晰度
25,主殿门缝特写，墨色雾气像液体一样从门缝渗入，门缝外有微弱强光，雾气暗黑粘稠，空间压迫，恐怖神秘,不要现代门缝，不要恐怖怪脸，不要低清晰度
26,守忆宗长老站在殿内，神情焦急，看向宗主，背景是宗谱和昏暗梁柱，低饱和暗调，电影剧照感,不要现代服装，不要脸部变形，不要夸张表情
